part_number,mlfb,productos,description
DTNF323,US2:DTNF323,MX:DTNF323,100A 3P 240V 3W NF DT TYPE 1
DTNF324,US2:DTNF324,MX:DTNF324,DOBLE TRHOW NF 200A 3P 240V 3W N1
DTNF325,US2:DTNF325,MX:DTNF325,DOBLE TRHOW NF 400A 3P 240V 3W N1
DTNF326,US2:DTNF326,MX:DTNF326,DOBLE TRHOW NF 600A 3P 240V 3W N1
DTNF327,US2:DTNF327,MX:DTNF327,DOBLE TRHOW NF 800A 3P 240V 3W N1
DTNF361,US2:DTNF361,MX:DTNF361,DOBLE TRHOW NF 30A 3P 600V 3W N1
DTNF362,US2:DTNF362,MX:DTNF362,DOBLE TRHOW NF 60A 3P 600V 3W N1
DTNF363,US2:DTNF363,MX:DTNF363,DOBLE TRHOW NF 100A 3P 600V 3W N1
DTNF364,US2:DTNF364,MX:DTNF364,DOBLE TRHOW NF 200A 3P 600V 3W N1
DTNF365,US2:DTNF365,MX:DTNF365,DOBLE TRHOW NF 400A 3P 600V 3W N1
DTNF366,US2:DTNF366,MX:DTNF366,DOBLE TRHOW NF 600A 3P 600V 3W N1
DTNF367,US2:DTNF367,MX:DTNF367,DOBLE TRHOW NF 800A 3P 600V 3W N1
DTNF368,US2:DTNF368,MX:DTNF368,DOBLE TRHOW NF 1200A 3P 600V 3W N1
D2L270S,D2L270S,D2L270S,QD 2C 2F 3H 70A Sobreponer
D3L3125S,D3L3125S,D3L3125S,QD 3C 3F 4H 125A Sobreponer
D4L2125S,D4L2125S,D4L2125S,QD 4C 2F 3H 125A Sobreponer
D6L2125S,D6L2125S,D6L2125S,QD 6C 2F 3H 125A Sobreponer
D8L2125S,D8L2125S,D8L2125S,QD 8C 2F 3H 125A Sobreponer
D2L270E,D2L270E,D2L270E,QD 2C 2F 3H 70A Empotrar
D3L3125E,D3L3125E,D3L3125E,QD 3C 3F 4H 125A Empotrar
D4L2125E,D4L2125E,D4L2125E,QD 4C 2F 3H 125A Empotrar
D6L2125E,D6L2125E,D6L2125E,QD 6C 2F 3H 125A Empotrar
D8L2125E,D8L2125E,D8L2125E,QD 8C 2F 3H 125A Empotrar
T02ML2070S,MX2:T02ML2070S,MEX:T02ML2070S,CENTRO DE CARGA 2P 70A SOBREPONER
T02ML2070F,MX2:T02ML2070F,MEX:T02ML2070F,"CC QT/QP, 24P, ML, 2F, 3H EMPOTRAR"
T03ML3100S,MX2:T03ML3100S,MEX:T03ML3100S,CENTRO DE CARGA 3P 100A SOBREPONER
T03ML3100F,MX2:T03ML3100F,MEX:T03ML3100F,"CC QT/QP, 36P, ML, 3F, 4H EMPOTRAR"
T04ML2125S,MX2:T04ML2125S,MEX:T04ML2125S,"CC QT/QP, 48P, ML, 2F, 3H SOBREPONER"
T04ML2125F,MX2:T04ML2125F,MEX:T04ML2125F,"CC QT/QP, 48P, ML, 2F, 3H EMPOTRAR"
E0204ML1060S,US2:E0204ML1060S,MX:E0204ML1060S,CENTRO DE CARGA QP 2P 1F 60A S UL
E0204ML1060F,US2:E0204ML1060F,MX:E0204ML1060F,CENTRO DE CARGA QP 2P 1F 60A E UL
E0303ML3100S,US2:E0303ML3100S,MX:E0303ML3100S,C/B ENCL 3CIRC 3P4W 100A SUR N1
E0408ML1125S,US2:E0408ML1125S,MX:E0408ML1125S,CENTRO DE CARGA QP 4P 1F 125A S UL
E0408ML1125F,US2:E0408ML1125F,MX:E0408ML1125F,CENTRO DE CARGA QP 4P 1F 125A E UL
E0816ML1125S,US2:E0816ML1125S,MX:E0816ML1125S,CENTRO DE CARGA QP 8P 1F 125A S UL
E0816ML1125F,US2:E0816ML1125F,MX:E0816ML1125F,CENTRO DE CARGA QP 8P 1F 125A E UL
E1224ML1100FG,US2:E1224ML1100FG,MX:E1224ML1100FG,"CENTRO DE CARGA, ZAPATAS PRINCIPALES NEM"
W0204ML1060,US2:W0204ML1060,MX:W0204ML1060,OUTDOOR EQ LC 2S 4C ML 60A
W0303ML3100,US2:W0303ML3100,MX:W0303ML3100,C/B ENCL 3CIRC BOLT ON 3P4W 100A N3R
W0408ML1125,US2:W0408ML1125,MX:W0408ML1125,C/B ENCL 4CIRC BOLT ON 1P3W 125A N3R
W0816ML1125CU,US2:W0816ML1125CU,MX:W0816ML1125CU,OUTDOOR EQ LC 8S 16C ML 125A CU
SN1224L1125,US2:SN1224L1125,MX:SN1224L1125,LC ML 12S24C 1P3W 120/240V
SN1632L1125,US2:SN1632L1125,MX:SN1632L1125,LC ML 16S32C 1P3W 120/240V
SN2020L1125,US2:SN2020L1125,MX:SN2020L1125,LC ML 20S20C 1P3W 120/240V
SN2040L1125,US2:SN2040L1125,MX:SN2040L1125,LOAD CENTER UL 20S 40C MAIN LUG 1P 125A
SN2424L1125,US2:SN2424L1125,MX:SN2424L1125,LC ML 24S24C 1P3W 120/240V
SN2448L1125,US2:SN2448L1125,MX:SN2448L1125,LC ML 24S48C 1P3W 120/240V (125A) 100KAI
SN3048L1125,US2:SN3048L1125,MX:SN3048L1125,LOAD CENTER UL 30S 48C MAIN LUG 1P 125A
SN1632L1150,US2:SN1632L1150,MX:SN1632L1150,LOAD CENTER UL 16S 32C MAIN LUG 1P 150A
SN2040L1150,US2:SN2040L1150,MX:SN2040L1150,LOAD CENTER UL 24S 48C MAIN LUG 1P 150A
SN2448L1150,US2:SN2448L1150,MX:SN2448L1150,LOAD CENTER UL 24S 48C MAIN LUG 1P 150A
SN1224L1200,US2:SN1224L1200,MX:SN1224L1200,LOAD CENTER UL 12S 24C MAIN LUG 1P 200A
SN2040L1200,US2:SN2040L1200,MX:SN2040L1200,LC ML 20S40C 1P3W 120/240V (200A) 100KAI
SN2448L1200,US2:SN2448L1200,MX:SN2448L1200,LOAD CENTER UL 24S 48C MAIN LUG 1P 200A
SN3030L1200,US2:SN3030L1200,MX:SN3030L1200,LOAD CENTER UL 30S 30C MAIN LUG 1P 200A
SN3048L1200,US2:SN3048L1200,MX:SN3048L1200,LC ML 30S48C 1P3W 120/240V
SN4060L1225,US2:SN4060L1225,MX:SN4060L1225,LOAD CENTER UL 40S 60C MAIN LUG 1P 225A
SN4264L1225,US2:SN4264L1225,MX:SN4264L1225,LOAD CENTER UL 42S 64C MAIN LUG 1P 225A
SN5482L1225,US2:SN5482L1225,MX:SN5482L1225,LOAD CENTER UL 54S 82C MAIN LUG 1P 125A
SNW1224L1125,US2:SNW1224L1125,MX:SNW1224L1125,LC ML 12S24C 1P3W 120/240V
SNW1632L1125,US2:SNW1632L1125,MX:SNW1632L1125,SIEMENS LOW VOLTAGE PLUGON
SNW2040L1200,US2:SNW2040L1200,MX:SNW2040L1200,SIEMENS LOW VOLTAGE PLUGON
SNW3048L1200,US2:SNW3048L1200,MX:SNW3048L1200,SIEMENS LOW VOLTAGE PLUGON
SNW4264L1225,US2:SNW4264L1225,MX:SNW4264L1225,SIEMENS LOW VOLTAGE PLUGON
S1224L3125,US2:S1224L3125,MX:S1224L3125,CENTRO DE CARGA QP ES ML 12P 3F 125A UL
S1836L3150,US2:S1836L3150,MX:S1836L3150,CENTRO DE CARGA QP ES ML 18P 1F 150A UL
S2442L3200,US2:S2442L3200,MX:S2442L3200,CENTRO DE CARGA QP ES ML 24P 3F 200A UL
S3054L3200,US2:S3054L3200,MX:S3054L3200,SIEMENS LOW VOLTAGE ES SERIES LOAD CENTE
S4260L3225,US2:S4260L3225,MX:S4260L3225,CENTRO DE CARGA QP ES ML 42P 3F 225A UL
S5470L3225,US2:S5470L3225,MX:S5470L3225,CENTRO DE CARGA QP ES ML 54P 3F 225A UL
SW1224L3200,US2:SW1224L3200,MX:SW1224L3200,3PH LC 12S 24C ML 200A AL OUTDOOR
SW1836L3150,US2:SW1836L3150,MX:SW1836L3150,3PH LC 18S 36C ML 150A AL OUTDOOR
SW2442L3200,US2:SW2442L3200,MX:SW2442L3200,3PH LC 24S 42C ML 200A AL OUTDOOR
SW3054L3200,US2:SW3054L3200,MX:SW3054L3200,3PH LC 30S 54C ML 200A AL OUTDOOR
SW4260L3225,US2:SW4260L3225,MX:SW4260L3225,3PH LC 42S 60C ML 225A AL OUTDOOR
SN1224B1100,US2:SN1224B1100,MX:SN1224B1100,SIEMENS LOW VOLTAGE PLUGON
SN1632B1100,US2:SN1632B1100,MX:SN1632B1100,LOAD CENTER UL 16S 32C MAIN BREAKER 1P 100A
SN2040B1100,US2:SN2040B1100,MX:SN2040B1100,LC MB 20S40C 1P3W 120/240V (100A) 100KAI
SN3030B1100,US2:SN3030B1100,MX:SN3030B1100,SIEMENS LOW VOLTAGE PLUGON
SN3048B1150,US2:SN3048B1150,MX:SN3048B1150,STD PNR LC MB 30S/48C 1PH 150A N1 GRY
SN4040B1200,US2:SN4040B1200,MX:SN4040B1200,LOAD CENTER UL 40S 40C MAIN BREAKER 1P 200A
SN4060B1200,US2:SN4060B1200,MX:SN4060B1200,LOAD CENTER UL 40S 60C MAIN BREAKER 1P 200A
SN4264B1225,US2:SN4264B1225,MX:SN4264B1225,LOAD CENTER UL 42S 64C MAIN BREAKER 1P 225A
SN5482B1225,US2:SN5482B1225,MX:SN5482B1225,LOAD CENTER UL 54S 82C MAIN BREAKER 1P 225A
SNW1224B1100,US2:SNW1224B1100,MX:SNW1224B1100,SIEMENS LOW VOLTAGE PLUGON
SNW2040B1125,US2:SNW2040B1125,MX:SNW2040B1125,LC MB 20S40C 1P3W 120/240V (125A) AL BUS
SNW3048B1200,US2:SNW3048B1200,MX:SNW3048B1200,LC MB 30S48C 1P3W 120/240V (200A) AL BUS
SNW4264B1225,US2:SNW4264B1225,MX:SNW4264B1225,LOAD CENTER UL 42S 64C MAIN BREAKER 1P 225A
S1224B3100,US2:S1224B3100,MX:S1224B3100,LC 1224 CIR 3P 4W 10KA ALUMINUM BUS N
S3042B3125,US2:S3042B3125,MX:S3042B3125,LOAD CENTER UL 30S 42C MAIN BREAKER 3P 125A
S2442B3150,US2:S2442B3150,MX:S2442B3150,CENTRO DE CARGA QP ES MB 24P 3F 150A UL
S4242B3150,US2:S4242B3150,MX:S4242B3150,CENTRO DE CARGA QP ES MB 42P 3F 150A UL
S3054B3200,US2:S3054B3200,MX:S3054B3200,CENTRO DE CARGA QP ES MB 30P 3F 200A UL
S4260B3200,US2:S4260B3200,MX:S4260B3200,LOAD CENTER UL 42S 60C MAIN BREAKER 3P 200A
S4242B3225,US2:S4242B3225,MX:S4242B3225,CENTRO DE CARGA QP ES MB 42P 3F 225A UL
SW2442B3150,US2:SW2442B3150,MX:SW2442B3150,3PH LC 24S 42C MB 150A AL OUTDOOR
SW3054B3200,US2:SW3054B3200,MX:SW3054B3200,3PH LC 30S 54C MB 200A AL OUTDOOR
SW4260B3200,US2:SW4260B3200,MX:SW4260B3200,3PH LC 42S 60C MB 200A AL OUTDOOR
SW4242B3225,US2:SW4242B3225,MX:SW4242B3225,LOAD CENTER UL 42S 42C MAIN BREAKER 3P 225A
EC2GB12,US2:EC2GB12,MX:EC2GB12,BARRA TIERRA/NEUTRO 12 TERMINALES
EC2GB122,US2:EC2GB122,MX:EC2GB122,BARRA TIERRA/NEUTRO 12 TERMINALES C/ZAP
EC2GB15,US2:EC2GB15,MX:EC2GB15,BARRA TIERRA/NEUTRO 15 TERMINALES
EC2GB152,US2:EC2GB152,MX:EC2GB152,BARRA TIERRA/NEUTRO 15 TERMINALES C/ZAP
EC3GB21,US2:EC3GB21,MX:EC3GB21,BARRA TIERRA/NEUTRO 21 TERMINALES
EC3GB212,US2:EC3GB212,MX:EC3GB212,BARRA TIERRA/NEUTRO 21 TERMINALES C/ZAP
EC3GB30,US2:EC3GB30,MX:EC3GB30,BARRA TIERRA/NEUTRO 30 TERMINALES
EC3GB302,US2:EC3GB302,MX:EC3GB302,BARRA TIERRA/NEUTRO 30 TERMINALES C/ZAP
PN1224L1125C,US2:PN1224L1125C,MX:PN1224L1125C,LC ML 12S24C 1P3W 120/240V (150A) 100KAI
PN1632L1125C,US2:PN1632L1125C,MX:PN1632L1125C,SIEMENS LOW VOLTAGE PLUGON
PN2448L1125C,US2:PN2448L1125C,MX:PN2448L1125C,SIEMENS LOW VOLTAGE PLUGON
PN1224L1200C,US2:PN1224L1200C,MX:PN1224L1200C,SIEMENS LOW VOLTAGE PLUGON
PN2448L1200C,US2:PN2448L1200C,MX:PN2448L1200C,SIEMENS LOW VOLTAGE PLUGON
PN3048L1200C,US2:PN3048L1200C,MX:PN3048L1200C,LC ML 30S48C 1P3W 120/240V
PN4060L1200C,US2:PN4060L1200C,MX:PN4060L1200C,LOAD CENTER UL 40S 60C MAIN BREAKER 1P 200A
PN5482L1225C,US2:PN5482L1225C,MX:PN5482L1225C,LOAD CENTER UL 54S 82C MAIN BREAKER 1P 225A
PNW1224L1125C,US2:PNW1224L1125C,MX:PNW1224L1125C,PRO PNR LC ML 12S/24C 1PH 125A N3R GRY
PNW2040L1200C,US2:PNW2040L1200C,MX:PNW2040L1200C,PRO PNR LC ML 20S/40C 1PH 200A N3R GRY
PNW3048L1200C,US2:PNW3048L1200C,MX:PNW3048L1200C,PRO PNR LC ML 30S/48C 1PH 200A N3R GRY
PNW4264L1225C,US2:PNW4264L1225C,MX:PNW4264L1225C,LC ML 42S64C 1P3W 120/240V (225A) 100KAI
P1224L3125CU,US2:P1224L3125CU,MX:P1224L3125CU,CENTRO DE CARGA QP PL ML 12P 3F 125A UL
P2442L3200CU,US2:P2442L3200CU,MX:P2442L3200CU,CENTRO DE CARGA QP PL ML 24P 3F 200A UL
