part_number,mlfb,productos,description
5SL33637MB,5SL3363-7MB,5SL33637MB,MCB 4.5KA 3POLE C63
5SL34067MB,5SL3406-7MB,5SL34067MB,Miniature circuit breaker
5SL34107MB,5SL3410-7MB,5SL34107MB,Miniature circuit breaker
5SL34167MB,5SL3416-7MB,5SL34167MB,Miniature circuit breaker
5SL34207MB,5SL3420-7MB,5SL34207MB,Miniature circuit breaker
5SL34257MB,5SL3425-7MB,5SL34257MB,Miniature circuit breaker
5SL34327MB,5SL3432-7MB,5SL34327MB,Miniature circuit breaker
5SL34407MB,5SL3440-7MB,5SL34407MB,Miniature circuit breaker
5SL34507MB,5SL3450-7MB,5SL34507MB,Miniature circuit breaker
5SL34637MB,5SL3463-7MB,5SL34637MB,Miniature circuit breaker
5SL61027CC,5SL6102-7CC,5SL61027CC,CIRCUIT BREAKER 6KA 1POLE C2
5SL61047CC,5SL6104-7CC,5SL61047CC,CIRCUIT BREAKER 6KA 1POLE C4
5SL61067CC,5SL6106-7CC,5SL61067CC,CIRCUIT BREAKER 6KA 1POLE C6
5SL61087CC,5SL6108-7CC,5SL61087CC,CIRCUIT BREAKER 6KA 1POLE C8
5SL61107CC,5SL6110-7CC,5SL61107CC,CIRCUIT BREAKER 6KA 1POLE C10
5SL61137CC,5SL6113-7CC,5SL61137CC,CIRCUIT BREAKER 6KA 1POLE C13
5SL61167CC,5SL6116-7CC,5SL61167CC,CIRCUIT BREAKER 6KA 1POLE C16
5SL61207CC,5SL6120-7CC,5SL61207CC,CIRCUIT BREAKER 6KA 1POLE C20
5SL61257CC,5SL6125-7CC,5SL61257CC,CIRCUIT BREAKER 6KA 1POLE C25
5SL61327CC,5SL6132-7CC,5SL61327CC,CIRCUIT BREAKER 6KA 1POLE C32
5SL61407CC,5SL6140-7CC,5SL61407CC,CIRCUIT BREAKER 6KA 1POLE C40
5SL61507CC,5SL6150-7CC,5SL61507CC,CIRCUIT BREAKER 6KA 1POLE C50
5SL61637CC,5SL6163-7CC,5SL61637CC,CIRCUIT BREAKER 6KA 1POLE C63
5SL62027CC,5SL6202-7CC,5SL62027CC,CIRCUIT BREAKER 6KA 2POLE C2
5SL62047CC,5SL6204-7CC,5SL62047CC,CIRCUIT BREAKER 6KA 2POLE C4
5SL62067CC,5SL6206-7CC,5SL62067CC,CIRCUIT BREAKER 6KA 2POLE C6
5SL62087CC,5SL6208-7CC,5SL62087CC,CIRCUIT BREAKER 6KA 2POLE C8
5SL62107CC,5SL6210-7CC,5SL62107CC,CIRCUIT BREAKER 6KA 2POLE C10
5SL62137CC,5SL6213-7CC,5SL62137CC,CIRCUIT BREAKER 6KA 2POLE C13
5SL62167CC,5SL6216-7CC,5SL62167CC,CIRCUIT BREAKER 6KA 2POLE C16
5SL62207CC,5SL6220-7CC,5SL62207CC,CIRCUIT BREAKER 6KA 2POLE C20
5SL62257CC,5SL6225-7CC,5SL62257CC,CIRCUIT BREAKER 6KA 2POLE C25
5SL62327CC,5SL6232-7CC,5SL62327CC,CIRCUIT BREAKER 6KA 2POLE C32
5SL62407CC,5SL6240-7CC,5SL62407CC,CIRCUIT BREAKER 6KA 2POLE C40
5SL62507CC,5SL6250-7CC,5SL62507CC,CIRCUIT BREAKER 6KA 2POLE C50
5SL62637CC,5SL6263-7CC,5SL62637CC,CIRCUIT BREAKER 6KA 2POLE C63
5SL63027CC,5SL6302-7CC,5SL63027CC,CIRCUIT BREAKER 6KA 3POLE C2
5SL63047CC,5SL6304-7CC,5SL63047CC,CIRCUIT BREAKER 6KA 3POLE C4
5SL63067CC,5SL6306-7CC,5SL63067CC,CIRCUIT BREAKER 6KA 3POLE C6
5SL63087CC,5SL6308-7CC,5SL63087CC,CIRCUIT BREAKER 6KA 3POLE C8
5SL63107CC,5SL6310-7CC,5SL63107CC,CIRCUIT BREAKER 6KA 3POLE C10
5SL63137CC,5SL6313-7CC,5SL63137CC,CIRCUIT BREAKER 6KA 3POLE C13
5SL63167CC,5SL6316-7CC,5SL63167CC,CIRCUIT BREAKER 6KA 3POLE C16
5SL63207CC,5SL6320-7CC,5SL63207CC,CIRCUIT BREAKER 6KA 3POLE C20
5SL63257CC,5SL6325-7CC,5SL63257CC,CIRCUIT BREAKER 6KA 3POLE C25
5SL63327CC,5SL6332-7CC,5SL63327CC,CIRCUIT BREAKER 6KA 3POLE C32
5SL63407CC,5SL6340-7CC,5SL63407CC,CIRCUIT BREAKER 6KA 3POLE C40
5SL63507CC,5SL6350-7CC,5SL63507CC,CIRCUIT BREAKER 6KA 3POLE C50
5SL63637CC,5SL6363-7CC,5SL63637CC,CIRCUIT BREAKER 6KA 3POLE C63
5SL64067CC,5SL6406-7CC,5SL64067CC,CIRCUIT BREAKER 6KA 4POLE C6
5SL64087CC,5SL6408-7CC,5SL64087CC,CIRCUIT BREAKER 6KA 4POLE C8
5SL64107CC,5SL6410-7CC,5SL64107CC,CIRCUIT BREAKER 6KA 4POLE C10
5SL64137CC,5SL6413-7CC,5SL64137CC,CIRCUIT BREAKER 6KA 4POLE C13
5SL64167CC,5SL6416-7CC,5SL64167CC,CIRCUIT BREAKER 6KA 4POLE C16
5SL64207CC,5SL6420-7CC,5SL64207CC,CIRCUIT BREAKER 6KA 4POLE C20
5SL64257CC,5SL6425-7CC,5SL64257CC,CIRCUIT BREAKER 6KA 4POLE C25
5SL64327CC,5SL6432-7CC,5SL64327CC,CIRCUIT BREAKER 6KA 4POLE C32
5SL64407CC,5SL6440-7CC,5SL64407CC,CIRCUIT BREAKER 6KA 4POLE C40
5SL64507CC,5SL6450-7CC,5SL64507CC,CIRCUIT BREAKER 6KA 4POLE C50
5SL64637CC,5SL6463-7CC,5SL64637CC,CIRCUIT BREAKER 6KA 4POLE C63
5SY61027,5SY6102-7,5SY61027,CIRCUIT BREAKER 6KA 1POL C2
5SY61047,5SY6104-7,5SY61047,CIRCUIT BREAKER 6KA 1POL C4
5SY61067,5SY6106-7,5SY61067,CIRCUIT BREAKER 6KA 1POL C6
5SY61107,5SY6110-7,5SY61107,CIRCUIT BREAKER 6KA 1POL C10
5SY61167,5SY6116-7,5SY61167,CIRCUIT BREAKER 6KA 1POL C16
5SY61207,5SY6120-7,5SY61207,CIRCUIT BREAKER 6KA 1POL C20
5SY61257,5SY6125-7,5SY61257,CIRCUIT BREAKER 6KA 1POL C25
5SY61327,5SY6132-7,5SY61327,CIRCUIT BREAKER 6KA 1POL C32
5SY61407,5SY6140-7,5SY61407,CIRCUIT BREAKER 6KA 1POL C40
5SY61507,5SY6150-7,5SY61507,CIRCUIT BREAKER 6KA 1POL C50
5SY61637,5SY6163-7,5SY61637,CIRCUIT BREAKER 6KA 1POL C63
5SY62027,5SY6202-7,5SY62027,CIRCUIT BREAKER 6KA 2POL C2
5SY62047,5SY6204-7,5SY62047,CIRCUIT BREAKER 6KA 2POL C4
5SY62067,5SY6206-7,5SY62067,CIRCUIT BREAKER 6KA 2POL C6
5SY62107,5SY6210-7,5SY62107,CIRCUIT BREAKER 6KA 2POL C10
5SY62167,5SY6216-7,5SY62167,CIRCUIT BREAKER 6KA 2POL C16
5SY62207,5SY6220-7,5SY62207,CIRCUIT BREAKER 6KA 2POL C20
5SY62257,5SY6225-7,5SY62257,CIRCUIT BREAKER 6KA 2POL C25
5SY62327,5SY6232-7,5SY62327,CIRCUIT BREAKER 6KA 2POL C32
5SY62407,5SY6240-7,5SY62407,CIRCUIT BREAKER 6KA 2POL C40
5SY62507,5SY6250-7,5SY62507,CIRCUIT BREAKER 6KA 2POL C50
5SY62637,5SY6263-7,5SY62637,CIRCUIT BREAKER 6KA 2POL C63
5SY63027,5SY6302-7,5SY63027,CIRCUIT BREAKER 6KA 3POL C2
5SY63047,5SY6304-7,5SY63047,CIRCUIT BREAKER 6KA 3POL C4
5SY63067,5SY6306-7,5SY63067,CIRCUIT BREAKER 6KA 3POL C6
5SY63107,5SY6310-7,5SY63107,CIRCUIT BREAKER 6KA 3POL C10
5SY63167,5SY6316-7,5SY63167,CIRCUIT BREAKER 6KA 3POL C16
5SY63207,5SY6320-7,5SY63207,CIRCUIT BREAKER 6KA 3POL C20
5SY63257,5SY6325-7,5SY63257,CIRCUIT BREAKER 6KA 3POL C25
5SY63327,5SY6332-7,5SY63327,CIRCUIT BREAKER 6KA 3POL C32
5SY63407,5SY6340-7,5SY63407,CIRCUIT BREAKER 6KA 3POL C40
5SY63507,5SY6350-7,5SY63507,CIRCUIT BREAKER 6KA 3POL C50
5SY63637,5SY6363-7,5SY63637,CIRCUIT BREAKER 6KA 3POL C63
5SY64107,5SY6410-7,5SY64107,CIRCUIT BREAKER 6KA 4POL C10
5SY64167,5SY6416-7,5SY64167,CIRCUIT BREAKER 6KA 4POL C16
5SY64207,5SY6420-7,5SY64207,CIRCUIT BREAKER 6KA 4POL C20
5SY64257,5SY6425-7,5SY64257,CIRCUIT BREAKER 6KA 4POL C25
5SY64327,5SY6432-7,5SY64327,CIRCUIT BREAKER 6KA 4POL C32
5SY64407,5SY6440-7,5SY64407,CIRCUIT BREAKER 6KA 4POL C40
5SY64507,5SY6450-7,5SY64507,CIRCUIT BREAKER 6KA 4POL C50
5SY64637,5SY6463-7,5SY64637,CIRCUIT BREAKER 6KA 4POL C63
5SP41807,5SP4180-7,5SP41807,CIRCUIT BREAKER 10KA 1P C80 15MW
5SP41917,5SP4191-7,5SP41917,CIRCUIT BREAKER 10KA 1P C100 15MW
5SP41927,5SP4192-7,5SP41927,CIRCUIT BREAKER 10KA 1P C125 15MW
5SP42807,5SP4280-7,5SP42807,CIRCUIT BREAKER 10KA 2POL C80 15MW
5SP42917,5SP4291-7,5SP42917,CIRCUIT BREAKER 10KA 2POL C100
5SP42927,5SP4292-7,5SP42927,CIRCUIT BREAKER 10KA 2POL C125 15MW
5SP43807,5SP4380-7,5SP43807,CIRCUIT BREAKER 10KA 3POL C80
5SP43917,5SP4391-7,5SP43917,CIRCUIT BREAKER 10KA 3P C100 15MW
5SP43927,5SP4392-7,5SP43927,CIRCUIT BREAKER 10KA 3POL C125
5SP44807,5SP4480-7,5SP44807,CIRCUIT BREAKER 10KA 4P C80 15MW
5SP44917,5SP4491-7,5SP44917,CIRCUIT BREAKER 10KA 4POL C100
5SP44927,5SP4492-7,5SP44927,CIRCUIT BREAKER 10KA 4POL C125
5ST3010,5ST3010,5ST3010,"AUXILIAR DE MANDO, 1 NA+1 NC PARA INTERR"
5ST3011,5ST3011,5ST3011,AUXILIAR DE MANDO 2 NA PARA AUTOMÁTICO M
5ST3012,5ST3012,5ST3012,"AUXILIAR DE MANDO, 2NC PARA INTERRUPTORE"
5SV41110,5SV4111-0,5SV41110,"INTERRUPTOR DIFERENCIAL, 2 POLOS, TIPO A"
5SV43110,5SV4311-0,5SV43110,"INTERRUPTOR DIFERENCIAL, 2 POLOS, TIPO A"
5SV43120,5SV4312-0,5SV43120,"INTERRUPTOR DIFERENCIAL, 2 POLOS, TIPO A"
5SV43140,5SV4314-0,5SV43140,"INTERRUPTOR DIFERENCIAL, 2 POLOS, TIPO A"
5SV43160,5SV4316-0,5SV43160,"INTERRUPTOR DIFERENCIAL, 2 POLOS, TIPO A"
5SV43170,5SV4317-0,5SV43170,"INTERRUPTOR DIFERENCIAL, 2 POLOS, TIPO A"
5SV43420,5SV4342-0,5SV43420,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV43440,5SV4344-0,5SV43440,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV43460,5SV4346-0,5SV43460,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV43470,5SV4347-0,5SV43470,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV46420,5SV4642-0,5SV46420,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV46440,5SV4644-0,5SV46440,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV46460,5SV4646-0,5SV46460,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV46470,5SV4647-0,5SV46470,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV43120MB,5SV4312-0MB,5SV43120MB,"INTERRUPTOR DIFERENCIAL, 2 POLOS, TIPO A"
5SV43140MB,5SV4314-0MB,5SV43140MB,RCCB TYPE AC 40/2 30MA 60HZ 2MW
5SV43160MB,5SV4316-0MB,5SV43160MB,RCCB TYPE AC 63/2 30MA 60HZ 2MW
5SV43420MB,5SV4342-0MB,5SV43420MB,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV43440MB,5SV4344-0MB,5SV43440MB,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV43460MB,5SV4346-0MB,5SV43460MB,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV43470MB,5SV4347-0MB,5SV43470MB,"INTERRUPTOR DIFERENCIAL, 4 POLOS, TIPO A"
5SV53120MB,5SV5312-0MB,5SV53120MB,RCCB TYPE AC 25/2 30MA 60HZ 2MW RES
5SV53140MB,5SV5314-0MB,5SV53140MB,RCCB TYPE AC 40/2 30MA 60HZ 2MW RES
5SV53160MB,5SV5316-0MB,5SV53160MB,RCCB TYPE AC 63/2 30MA 60HZ2MW RES
5SV53420MB,5SV5342-0MB,5SV53420MB,RCCB TYPE AC 25/4 30MA 60HZ 4MW RES
5SV53440MB,5SV5344-0MB,5SV53440MB,RCCB TYPE AC 40/4 30MA 60HZ 4MW RES
5SV53460MB,5SV5346-0MB,5SV53460MB,RCCB TYPE AC 63/4 30MA 60HZ 4MW RES
5SV53470MB,5SV5347-0MB,5SV53470MB,RCCB TYPE AC 80/4 30MA 60HZ 4MW RES
5SD74131KU02,5SD7413-1KU02,5SD74131KU02,"SPD UL, TIPO 1 DE 3 POLOS, 480Y/277V (ESTRELLA)"
5SD74141KU02,5SD7414-1KU02,5SD74141KU02,"SPD UL, TIPO 1 DE 4 POLOS, 480Y/277V (ESTRELLA)"
5SD74131KU03,5SD7413-1KU03,5SD74131KU03,"SPD UL, TIPO 1 DE 3 POLOS, 600Y/347V (ESTRELLA)"
5SD74141KU03,5SD7414-1KU03,5SD74141KU03,"SPD UL, TIPO 1 DE 4 POLOS, 600Y/347V (ESTRELLA)"
5SD74131KU04,5SD7413-1KU04,5SD74131KU04,"SPD UL, TIPO 1 DE 3 POLOS, 480 V (TRIÁNGULO)"
5SU13246KX06,5SU1324-6KX06,5SU13246KX06,"RCBO, 10 KA, 2P, TYPE A, 30 MA, B ., IN: 6 A, UN AC: 110 V"
5SU13246KX10,5SU1324-6KX10,5SU13246KX10,"RCBO, 10 KA, 2P, TYPE A, 30 MA, B ., IN: 10 A, UN AC: 110 V"
5SU13246KX13,5SU1324-6KX13,5SU13246KX13,"RCBO, 10 KA, 2P, TYPE A, 30 MA, B ., IN: 13 A, UN AC: 110 V"
5SU13246KX16,5SU1324-6KX16,5SU13246KX16,"RCBO, 10 KA, 2P, TYPE A, 30 MA, B ., IN: 16 A, UN AC: 110 V"
5SU13246KX20,5SU1324-6KX20,5SU13246KX20,"RCBO, 10 KA, 2P, TYPE A, 30 MA, B ., IN: 20 A, UN AC: 110 V"
5SU13246KX25,5SU1324-6KX25,5SU13246KX25,"RCBO, 10 KA, 2P, TYPE A, 30 MA, B ., IN: 25 A, UN AC: 110 V"
5SU13246KX32,5SU1324-6KX32,5SU13246KX32,"RCBO, 10 KA, 2P, TYPE A, 30 MA, B ., IN: 32 A, UN AC: 110 V"
5SU13246KX40,5SU1324-6KX40,5SU13246KX40,"RCBO, 10 KA, 2P, TYPE A, 30 MA, B ., IN: 40 A, UN AC: 110 V"
5SU13247kX06,5SU1324-7kX06,5SU13247kX06,"RCBO, 10 KA, 2P, TYPE A, 30 MA, C, IN: 6 A, UN AC:110 V"
5SU13247kX10,5SU1324-7kX10,5SU13247kX10,"RCBO, 10 KA, 2P, TYPE A, 30 MA, C, IN: 10 A, UN AC: 110 V"
5SU13247kX13,5SU1324-7kX13,5SU13247kX13,"RCBO, 10 KA, 2P, TYPE A, 30 MA, C, IN: 13 A, UN AC: 110 V"
5SU13247kX16,5SU1324-7kX16,5SU13247kX16,"RCBO, 10 KA, 2P, TYPE A, 30 MA, C, IN: 16 A, UN AC: 110 V"
5SU13247kX20,5SU1324-7kX20,5SU13247kX20,"RCBO, 10 KA, 2P, TYPE A, 30 MA, C, IN: 20 A, UN AC: 110 V"
5SU13247kX25,5SU1324-7kX25,5SU13247kX25,"RCBO, 10 KA, 2P, TYPE A, 30 MA, C, IN: 25 A, UN AC: 110 V"
ISPD1201050R,US2:ISPD1201050R,MX:ISPD1201050R,"ISPD UL 1449 TYPE  1 POLE, 120V NOMINAL AC VOLTAGE. 150V"
ISPD1202050R,US2:ISPD1202050R,MX:ISPD1202050R,"ISPD UL 1449 TYPE  2 POLE, 120/240V SPLIT PHASE. 120V NOMINAL AC VOLTAGE, 150V  PER PHASE"
ISPD1203050R,US2:ISPD1203050R,MX:ISPD1203050R,"ISPD UL 1449 TYPE  3 POLE, 120/240V SPLIT PHASE + NEUTRAL. 120V NOMINAL AC VOLTAGE, 150V  PER PHASE"
ISPD1204050R,US2:ISPD1204050R,MX:ISPD1204050R,"ISPD UL 1449 TYPE  4 POLE, 208Y/120V + NEUTRAL. 120V NOMINAL AC VOLTAGE, 150V  PER PHASE"
ISPD2401050R,US2:ISPD2401050R,MX:ISPD2401050R,"ISPD UL 1449 TYPE  1 POLE, 240V NOMINAL AC VOLTAGE. 300V"
ISPD2402050R,US2:ISPD2402050R,MX:ISPD2402050R,"ISPD UL 1449 TYPE  2 POLE, 240V SPLIT PHASE. 240V NOMINAL AC VOLTAGE. 300V"
ISPD2403050R,US2:ISPD2403050R,MX:ISPD2403050R,"ISPD UL 1449 TYPE  3 POLE, 240V SPLIT PHASE + N OR 240V OPEN DELTA. 240V NOMINAL AC VOLTAGE. 300V"
ISPD2404050R,US2:ISPD2404050R,MX:ISPD2404050R,"ISPD UL 1449 TYPE  4 POLE, 240V NOMINAL AC VOLTAGE. 300V"
ISPD2771050R,US2:ISPD2771050R,MX:ISPD2771050R,"ISPD UL 1449 TYPE  1 POLE, 277V NOMINAL AC VOLTAGE. 350V"
ISPD2772050R,US2:ISPD2772050R,MX:ISPD2772050R,"ISPD UL 1449 TYPE  2 POLE, 277V NOMINAL AC VOLTAGE. 350V"
ISPD2773050R,US2:ISPD2773050R,MX:ISPD2773050R,"ISPD UL 1449 TYPE  3 POLE, 480Y/ 277V. 277V NOMINAL AC VOLTAGE, 350V  PER PHASE"
ISPD2774050R,US2:ISPD2774050R,MX:ISPD2774050R,"ISPD UL 1449 TYPE  4 POLE, 480Y/ 277V +N. 277V NOMINAL AC VOLTAGE, 350V  PER PHASE"
ISPD3471050R,US2:ISPD3471050R,MX:ISPD3471050R,"ISPD UL 1449 TYPE  1 POLE, 347V NOMINAL AC VOLTAGE. 480V"
ISPD3472050R,US2:ISPD3472050R,MX:ISPD3472050R,"ISPD UL 1449 TYPE  2 POLE, 347V NOMINAL AC VOLTAGE, 480V  PER PHASE"
ISPD3473050R,US2:ISPD3473050R,MX:ISPD3473050R,"ISPD UL 1449 TYPE  3 POLE, 600Y/347V. 347V NOMINAL AC VOLTAGE, 480V  PER PHASE"
ISPD3474050R,US2:ISPD3474050R,MX:ISPD3474050R,"ISPD UL 1449 TYPE  4 POLE, 600Y/347V + N. 347V NOMINAL AC VOLTAGE, 480V  PER PHASE"
ISPD4801050R,US2:ISPD4801050R,MX:ISPD4801050R,"ISPD UL 1449 TYPE  1 POLE, 480V NOMINAL AC VOLTAGE. 550V"
ISPD4802050R,US2:ISPD4802050R,MX:ISPD4802050R,"ISPD UL 1449 TYPE  2 POLE, 480V NOMINAL AC VOLTAGE, 550V  PER PHASE"
ISPD4803050R,US2:ISPD4803050R,MX:ISPD4803050R,"ISPD UL 1449 TYPE  3 POLE, 480V DELTA. 480V NOMINAL AC VOLTAGE, 550V  PER PHASE"
ISPD4804050R,US2:ISPD4804050R,MX:ISPD4804050R,"ISPD UL 1449 TYPE  4 POLE. 480V NOMINAL AC VOLTAGE, 550V  PER PHASE"
ISPD6001035R,US2:ISPD6001035R,MX:ISPD6001035R,"ISPD UL 1449 TYPE  1 POLE, 600V NOMINAL AC VOLTAGE. 750V"
ISPD6002035R,US2:ISPD6002035R,MX:ISPD6002035R,"ISPD UL 1449 TYPE  2 POLE, 600V NOMINAL AC VOLTAGE, 750V  PER PHASE"
ISPD6003035R,US2:ISPD6003035R,MX:ISPD6003035R,"ISPD UL 1449 TYPE  3 POLE, 600V DELTA. 600V NOMINAL AC VOLTAGE, 750V  PER PHASE"
ISPD120M050,US2:ISPD120M050,MX:ISPD120M050,120V NOMINAL VOLTAGE AC REPLACEMENT MODULE.
ISPD240M050,US2:ISPD240M050,MX:ISPD240M050,240V NOMINAL VOLTAGE AC REPLACEMENT MODULE.
ISPD277M050,US2:ISPD277M050,MX:ISPD277M050,277V NOMINAL VOLTAGE AC REPLACEMENT MODULE.
ISPD347M050,US2:ISPD347M050,MX:ISPD347M050,347V NOMINAL VOLTAGE AC REPLACEMENT MODULE.
ISPD480M050,US2:ISPD480M050,MX:ISPD480M050,480V NOMINAL VOLTAGE AC REPLACEMENT MODULE.
ISPD600M050,US2:ISPD600M050,MX:ISPD600M050,600V NOMINAL VOLTAGE AC REPLACEMENT MODULE.
ISPD1000PV040R,US2:ISPD1000PV040R,MX:ISPD1000PV040R,"INDUSTRIAL SURGE PROTECTION 1000V PHOTOVOLTAIC, 3 POLE DEVICE."
ISPD1500PV040R,US2:ISPD1500PV040R,MX:ISPD1500PV040R,"INDUSTRIAL SURGE PROTECTION 1500V PHOTOVOLTAIC, 3 POLE DEVICE."
ISPD24DC,US2:ISPD24DC,MX:ISPD24DC,INDUSTRIAL SURGE PROTECTION 24V DC PROTECTION.
ISPD500PVM040,US2:ISPD500PVM040,MX:ISPD500PVM040,500V NOMINAL VOLTAGE PV REPLACEMENT MODULE.
ISPD750PVM040,US2:ISPD750PVM040,MX:ISPD750PVM040,750V NOMINAL VOLTAGE PV REPLACEMENT MODULE.
ISPD24DCM,US2:ISPD24DCM,MX:ISPD24DCM,
5SU13247kX32,5SU1324-7kX32,5SU13247kX32,"RCBO, 10 KA, 2P, TYPE A, 30 MA, C, IN: 32 A, UN AC: 110 V"
5SU13247kX40,5SU1324-7kX40,5SU13247kX40,"RCBO, 10 KA, 2P, TYPE A, 30 MA, C, IN: 40 A, UN AC: 110 V"
7LF45015,7LF4501-5,7LF45015,"WEEKLY TIME SWITCH, MINI DIG. 230V AC, 1"
7LF45110,7LF4511-0,7LF45110,PROGRAMADOR HORARIO SEMANAL TOP DIGITAL
7LF45120,7LF4512-0,7LF45120,PROGRAMADOR HORARIO SEMANAL TOP DIGITAL
7LF45210,7LF4521-0,7LF45210,PROGRAMADOR HORARIO SEMANAL PROFI DIGITA
7LF45212,7LF4521-2,7LF45212,INTERRUP. HORARIO SEMANAL PROFI DIGITAL
7LF45220,7LF4522-0,7LF45220,PROGRAMADOR HORARIO SEMANAL PROFI DIGITA
7LF45222,7LF4522-2,7LF45222,PROGRAMADOR HORARIO SEMANAL PROFI DIGITA
7LF45310,7LF4531-0,7LF45310,PROGRAMADOR HORARIO SEMANAL ASTRO DIGITA
7LF45320,7LF4532-0,7LF45320,ASTRO DIGITAL TIME SWITCHES 2C 230V
7LF49411,7LF4941-1,7LF49411,DATA KEY FOR PROFI ASTRO
7LF49410,7LF4941-0,7LF49410,ADAPTADOR USB Y SOFTWARE
8WH91500CA00,8WH9150-0CA00,8WH91500CA00,"SOPORTE EXTREMO DE MONTAJE RÁPIDO, EQUIP"
8WH10000AF00,8WH1000-0AF00,8WH10000AF00,BORNE DE PASO CON CONEXIÓN DE TORNILLO T
8WH90206BL10,8WH9020-6BL10,8WH90206BL10,"PUENTE ENCHUFABLE, PARA BORNES CON 5,2 M"
8WH10000AH00,8WH1000-0AH00,8WH10000AH00,BORNE DE PASO CON CONEXIÓN DE TORNILLO T
8WH90206DL10,8WH9020-6DL10,8WH90206DL10,"PUENTE ENCHUFABLE, PARA BORNES CON 8,2 M"
8WH10000AM00,8WH1000-0AM00,8WH10000AM00,"BORNE DE PASO CON CONEXIÓN DE TORNILLO TAMAÑO DE BORNE 35,0 MM2 ANCHO DE BORNE 16,0 MM COLOR GRIS"
8WH90206GC10,8WH9020-6GC10,8WH90206GC10,"PUENTE ENCHUFABLE, PARA BORNES CON 16 MM"
8WH81402AB05,8WH8140-2AB05,8WH81402AB05,"PLAQUITA DE INSCRIPCIÓN, FRONTAL, CON 1"
8WH81402AB15,8WH8140-2AB15,8WH81402AB15,"PLAQUITA DE INSCRIPCIÓN, FRONTAL, CON 11"
8WH81402AB25,8WH8140-2AB25,8WH81402AB25,"PLAQUITA DE INSCRIPCIÓN, FRONTAL, CON 21"
8WH81402AB35,8WH8140-2AB35,8WH81402AB35,"PLAQUITA DE INSCRIPCIÓN, FRONTAL, CON 31"
8WH81402XA05,8WH8140-2XA05,8WH81402XA05,"PLAQUETTE DE REPÉRAGE, FACE AVANT, UNIQU"
3VA41954ED140AA0,3VA4195-4ED14-0AA0,3VA41954ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41204ED140AA0,3VA4120-4ED14-0AA0,3VA41204ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41304ED140AA0,3VA4130-4ED14-0AA0,3VA41304ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41404ED140AA0,3VA4140-4ED14-0AA0,3VA41404ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41504ED140AA0,3VA4150-4ED14-0AA0,3VA41504ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41604ED140AA0,3VA4160-4ED14-0AA0,3VA41604ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41704ED140AA0,3VA4170-4ED14-0AA0,3VA41704ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41804ED140AA0,3VA4180-4ED14-0AA0,3VA41804ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41904ED140AA0,3VA4190-4ED14-0AA0,3VA41904ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41104ED140AA0,3VA4110-4ED14-0AA0,3VA41104ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41124ED140AA0,3VA4112-4ED14-0AA0,3VA41124ED140AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41954ED240AA0,3VA4195-4ED24-0AA0,3VA41954ED240AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41204ED240AA0,3VA4120-4ED24-0AA0,3VA41204ED240AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41304ED240AA0,3VA4130-4ED24-0AA0,3VA41304ED240AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41404ED240AA0,3VA4140-4ED24-0AA0,3VA41404ED240AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41504ED240AA0,3VA4150-4ED24-0AA0,3VA41504ED240AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41604ED240AA0,3VA4160-4ED24-0AA0,3VA41604ED240AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41704ED240AA0,3VA4170-4ED24-0AA0,3VA41704ED240AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
3VA41804ED240AA0,3VA4180-4ED24-0AA0,3VA41804ED240AA0,INTERRUPTOR CAJA MOLDEADA 3VA41
